,p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
,,,,0.667575757575757,,,,,,,
,,,,,,,,,,,
13,0.3,2.5,LFOICA,0.5759920634920634,0.196,0.29054632116776336,0.08651515151515152,0.11396825396825397,0.09378749905065695,0.2983630788645995,85.56413059234619
,,,,,,,,,,,
,,,,,,,,,,,
14,0.3,3,LFOICA,0.42903729913017835,0.19333333333333333,0.2607597585194146,0.07232142857142856,0.14857142857142855,0.09116632160110419,0.2294550384089995,80.62555778026581
,,,,,,,,,,,
,,,,,,,,,,,
15,0.4,1,LFOICA,0.7487445887445887,0.39999999999999997,0.49549937678420647,0.38593073593073596,0.3466666666666667,0.3307634470792365,0.1978638371108518,255.0399962425232
,,,,,,,,,,,
,,,,,,,,,,,
16,0.4,1.5,LFOICA,0.7136507936507936,0.2333333333333333,0.33002781686837407,0.16351275917065392,0.23583333333333334,0.18862947968211125,0.24007035977389052,245.03099336624146
,,,,,,,,,,,
,,,,,,,,,,,
17,0.4,2,LFOICA,0.6072943722943723,0.22999999999999998,0.3138706729351891,0.4446969696969697,0.22999999999999998,0.2467228677754994,0.286924700286452,230.59563755989075
,,,,,,,,,,,
,,,,,,,,,,,
18,0.4,2.5,LFOICA,0.7122222222222222,0.22400000000000003,0.3345942926332902,0.21894576012223071,0.21500000000000002,0.19513275467222835,0.28670997045251967,226.7515375852585
,,,,,,,,,,,
,,,,,,,,,,,
19,0.4,3,LFOICA,0.35124140565317036,0.10333333333333335,0.1408074737392635,0.0625,0.04166666666666667,0.05,0.16820947470603925,211.95867385864258
,,,,,,,,,,,
,,,,,,,,,,,
20,0.5,1,LFOICA,0.8857142857142858,0.29000000000000004,0.41441107911696146,0.3521212121212121,0.24871794871794872,0.2662087912087912,0.15031175470231323,816.2751764059067
,,,,,,,,,,,
,,,,,,,,,,,
21,0.5,1.5,LFOICA,0.8633333333333333,0.24666666666666667,0.3770632463511721,0.49128303495311165,0.2554156954156954,0.21551317103948686,0.22447909484192424,764.9703323841095
,,,,,,,,,,,
,,,,,,,,,,,
22,0.5,2,LFOICA,0.5089015151515152,0.225,0.303791011855528,0.15746031746031747,0.3703185703185703,0.13921957671957672,0.2311500202575,698.3639915466308
,,,,,,,,,,,
,,,,,,,,,,,
